[30,30]
(11,29)
(23,14) | (21,16)
(8,4,1,1)
(15,13,1,1)
(20,9,1,1)
(10,0,1,1)
(11,26,1,1)
(11,13,1,1)
(0,29,1,1)
(1,27,1,1)
(13,16,1,1)
(16,12,1,1)
(4,6,1,1)
(29,13,1,1)
(21,11,1,1)
(25,29,1,1)
(4,21,1,1)
(30,9,1,1)
(5,12,1,1)
(9,2,1,1)
(9,19,1,1)
(2,8,1,1)
(26,20,1,1)
(18,24,1,1)
(28,20,1,1)
(15,20,1,1)
(26,20,1,1)
(17,3,1,1)
(22,23,1,1)
(20,6,1,1)
(20,14,1,1)
(17,24,1,1)
(9,8,1,1)
(16,18,1,1)
(1,20,1,1)
(16,8,1,1)
(23,25,1,1)
(14,12,1,1)
(15,15,1,1)
(7,20,1,1)
(4,4,1,1)
(9,12,1,1)
(27,19,1,1)
(6,20,1,1)
(29,14,1,1)
(8,6,1,1)
(22,6,1,1)
(7,25,1,1)
(18,13,1,1)
(2,27,1,1)
(1,25,1,1)
(9,15,1,1)
(12,11,1,1)
(19,25,1,1)
(29,4,1,1)
(12,6,1,1)
(29,24,1,1)
(23,30,1,1)
(18,0,1,1)
(8,3,1,1)
(23,9,1,1)
(5,7,1,1)
(15,3,1,1)
(4,26,1,1)
(26,25,1,1)
(20,5,1,1)
(24,1,1,1)
(17,19,1,1)
(15,13,1,1)
(7,18,1,1)
(18,16,1,1)
(27,25,1,1)
(0,27,1,1)
(3,12,1,1)
(29,4,1,1)
(8,25,1,1)
(2,23,1,1)
(29,20,1,1)
(30,21,1,1)
(8,11,1,1)
(5,21,1,1)
(19,0,1,1)
(21,1,1,1)
(7,13,1,1)
(8,4,1,1)
(12,4,1,1)
(3,8,1,1)
(16,19,1,1)
(29,13,1,1)
(30,18,1,1)
(11,26,1,1)
(11,15,1,1)
(28,1,1,1)
(5,19,1,1)
(8,6,1,1)
(23,20,1,1)
(4,4,1,1)
(1,12,1,1)
(29,0,1,1)
(30,14,1,1)
(10,28,1,1)
(17,22,1,1)
(24,12,1,1)
(15,19,1,1)
(6,2,1,1)
(1,17,1,1)
(13,26,1,1)
(9,16,1,1)
(26,27,1,1)
(11,16,1,1)
(0,13,1,1)
(17,7,1,1)
(15,25,1,1)
(1,23,1,1)
(12,24,1,1)
(10,16,1,1)
(16,2,1,1)
(5,2,1,1)
(20,2,1,1)
(14,17,1,1)
(21,2,1,1)
(11,19,1,1)
(28,12,1,1)
(11,3,1,1)
(14,9,1,1)
(0,6,1,1)
(20,5,1,1)
(8,7,1,1)
(3,3,1,1)
(2,6,1,1)
(3,15,1,1)
(17,12,1,1)
(0,13,1,1)
(21,30,1,1)
(17,21,1,1)
(6,0,1,1)
(29,7,1,1)
(3,0,1,1)
(8,24,1,1)
(22,4,1,1)
(4,23,1,1)
(25,11,1,1)
(10,17,1,1)
(19,30,1,1)
(26,24,1,1)
(27,11,1,1)
(6,13,1,1)
(5,17,1,1)
(14,23,1,1)
(3,7,1,1)
(5,20,1,1)
(24,10,1,1)
(26,2,1,1)
(11,3,1,1)
(11,11,1,1)
(13,28,1,1)
(17,14,1,1)
(27,16,1,1)
(17,24,1,1)
(11,23,1,1)
(30,8,1,1)
(15,5,1,1)
(21,7,1,1)
(22,4,1,1)
(18,6,1,1)
(27,5,1,1)
(4,7,1,1)
(8,18,1,1)
(14,7,1,1)
(8,22,1,1)
