[30,30]
(13,25)
(12,11) | (1,23)
(25,3,1,1)
(28,28,1,1)
(2,13,1,1)
(21,13,1,1)
(23,12,1,1)
(16,4,1,1)
(19,17,1,1)
(25,5,1,1)
(21,0,1,1)
(19,3,1,1)
(12,14,1,1)
(21,2,1,1)
(23,29,1,1)
(30,17,1,1)
(19,15,1,1)
(10,9,1,1)
(14,10,1,1)
(11,16,1,1)
(1,20,1,1)
(19,6,1,1)
(28,5,1,1)
(29,1,1,1)
(11,24,1,1)
(7,3,1,1)
(14,2,1,1)
(3,4,1,1)
(11,0,1,1)
(27,13,1,1)
(9,26,1,1)
(22,9,1,1)
(29,28,1,1)
(11,29,1,1)
(2,21,1,1)
(2,23,1,1)
(13,6,1,1)
(21,2,1,1)
(1,21,1,1)
(24,18,1,1)
(12,8,1,1)
(25,17,1,1)
(6,26,1,1)
(30,25,1,1)
(1,29,1,1)
(17,22,1,1)
(10,25,1,1)
(12,28,1,1)
(26,10,1,1)
(19,19,1,1)
(30,17,1,1)
(27,23,1,1)
(21,23,1,1)
(28,21,1,1)
(3,22,1,1)
(24,9,1,1)
(29,26,1,1)
(6,14,1,1)
(7,27,1,1)
(9,24,1,1)
(9,10,1,1)
(2,24,1,1)
(24,2,1,1)
(29,8,1,1)
(13,16,1,1)
(24,13,1,1)
(22,26,1,1)
(24,23,1,1)
(5,5,1,1)
(28,17,1,1)
(26,18,1,1)
(11,0,1,1)
(23,2,1,1)
(10,19,1,1)
(9,16,1,1)
(9,13,1,1)
(27,11,1,1)
(12,21,1,1)
(12,6,1,1)
(20,26,1,1)
(5,1,1,1)
(0,6,1,1)
(29,4,1,1)
(24,0,1,1)
(0,29,1,1)
(20,11,1,1)
(16,15,1,1)
(16,24,1,1)
(2,9,1,1)
(30,7,1,1)
(12,4,1,1)
(3,10,1,1)
(23,13,1,1)
(21,5,1,1)
(11,14,1,1)
(17,25,1,1)
(30,23,1,1)
(21,26,1,1)
(9,15,1,1)
(22,20,1,1)
(21,2,1,1)
(19,14,1,1)
(7,4,1,1)
(17,10,1,1)
(30,28,1,1)
(3,30,1,1)
(1,27,1,1)
(15,25,1,1)
(28,24,1,1)
(21,8,1,1)
(23,8,1,1)
(2,26,1,1)
(28,30,1,1)
(28,8,1,1)
(0,7,1,1)
(4,4,1,1)
(28,14,1,1)
(20,25,1,1)
(30,5,1,1)
(24,7,1,1)
(28,1,1,1)
(25,10,1,1)
(11,20,1,1)
