[30,30]
(4,3)
(20,8) | (22,26)
(6,29,1,1)
(13,6,1,1)
(27,26,1,1)
(5,6,1,1)
(30,28,1,1)
(21,0,1,1)
(24,21,1,1)
(2,28,1,1)
(15,9,1,1)
(9,13,1,1)
(21,30,1,1)
(15,10,1,1)
(25,24,1,1)
(15,30,1,1)
(29,10,1,1)
(6,9,1,1)
(26,15,1,1)
(16,7,1,1)
(29,20,1,1)
(22,0,1,1)
(28,21,1,1)
(19,15,1,1)
(5,10,1,1)
(18,30,1,1)
(30,23,1,1)
(6,26,1,1)
(14,10,1,1)
(11,15,1,1)
(30,26,1,1)
(0,30,1,1)
(17,25,1,1)
(11,13,1,1)
(2,28,1,1)
(30,12,1,1)
(19,17,1,1)
(2,10,1,1)
(10,6,1,1)
(6,29,1,1)
(21,30,1,1)
(3,10,1,1)
(12,8,1,1)
(30,28,1,1)
(18,27,1,1)
(28,10,1,1)
(2,18,1,1)
(10,6,1,1)
(17,14,1,1)
(5,27,1,1)
(7,29,1,1)
(17,2,1,1)
(15,27,1,1)
(24,29,1,1)
(3,29,1,1)
(13,10,1,1)
(8,0,1,1)
(5,0,1,1)
(25,30,1,1)
(1,7,1,1)
(8,3,1,1)
(13,13,1,1)
(21,23,1,1)
(13,16,1,1)
(13,20,1,1)
(0,3,1,1)
(12,24,1,1)
(7,10,1,1)
(23,16,1,1)
(5,9,1,1)
(14,14,1,1)
(26,3,1,1)
(6,15,1,1)
(1,22,1,1)
(10,9,1,1)
